loss_pol_entpen,EpLenMean,loss_pol_surr,loss_ent,ev_tdlam_before,EpRewMean,loss_kl,EpisodesSoFar,EpThisIter,TimestepsSoFar,TimeElapsed,loss_vf_loss
0.0,140.16,-0.0745389,1.4056909,0.5730609595775604,0.8,0.07021217,4262,27,593920,991.2936923503876,139.6587
0.0,134.16,-0.069789335,1.3748654,0.6334346532821655,-0.47,0.082006924,4294,32,598016,997.9379217624664,154.9788
0.0,144.6,-0.08065366,1.3761208,0.6615631282329559,-8.95,0.08470103,4318,24,602112,1004.476589679718,122.17189
0.0,136.16,-0.07298363,1.3512546,0.7203137874603271,8.01,0.0739122,4352,34,606208,1011.029402256012,114.24649
0.0,144.49,-0.0745835,1.3467401,0.5881408452987671,9.54,0.08004306,4377,25,610304,1017.949823141098,125.35185
0.0,147.73,-0.0781835,1.275775,0.63560751080513,9.03,0.085909486,4404,27,614400,1024.6705522537231,115.1331
0.0,149.05,-0.07081438,1.2473594,0.5670163631439209,19.88,0.087018825,4430,26,618496,1031.4113385677338,157.89612
0.0,155.98,-0.07658405,1.2485604,0.6465737521648407,2.73,0.07733116,4456,26,622592,1038.0264291763306,115.2251
0.0,146.26,-0.078106046,1.2476226,0.6502062976360321,13.48,0.06925487,4487,31,626688,1044.5232830047607,165.88974
0.0,151.65,-0.07091407,1.2358675,0.5319458842277527,19.97,0.09491416,4513,26,630784,1051.143747806549,169.59283
0.0,145.65,-0.07575788,1.218232,0.5876993536949158,8.91,0.08626831,4540,27,634880,1057.7207791805267,147.98848
0.0,145.9,-0.075906605,1.2245408,0.5567388236522675,14.34,0.0772877,4568,28,638976,1064.2241423130035,170.77162
0.0,148.45,-0.07501685,1.2201765,0.582228422164917,13.02,0.08402789,4597,29,643072,1070.8464736938477,158.27032
0.0,144.49,-0.07451754,1.1974152,0.5817866921424866,4.62,0.082907476,4623,26,647168,1077.647067308426,203.02008
0.0,143.38,-0.080033414,1.1600503,0.6153168976306915,16.34,0.08185267,4653,30,651264,1084.304047346115,153.74979
0.0,145.62,-0.07875533,1.1432852,0.6383621990680695,16.26,0.08930291,4679,26,655360,1091.0886449813843,136.08492
0.0,150.15,-0.07773133,1.1040218,0.598839521408081,19.89,0.078417584,4706,27,659456,1097.8906054496765,171.50484
0.0,146.83,-0.07219883,1.085534,0.5948179960250854,26.17,0.08497041,4736,30,663552,1104.6882829666138,144.50035
0.0,152.5,-0.074001014,1.0700116,0.4835463762283325,10.78,0.08077294,4760,24,667648,1111.2195308208466,154.58823
0.0,154.39,-0.08176356,1.0580175,0.458787202835083,17.46,0.09139264,4784,24,671744,1117.949863433838,141.8832
