EpThisIter,loss_ent,loss_pol_entpen,EpRewMean,EpLenMean,loss_vf_loss,EpisodesSoFar,loss_kl,TimeElapsed,loss_pol_surr,ev_tdlam_before,TimestepsSoFar
40,2.5128188,0.0,44.04,98.96,413.29105,4603,0.047851734,906.6469361782074,-0.07650628,0.6532977819442749,487424
39,2.491118,0.0,37.06,101.45,380.52103,4642,0.051026575,913.3088746070862,-0.070953354,0.6837177574634552,491520
36,2.4651642,0.0,20.51,106.76,342.5434,4678,0.05833738,920.6946141719818,-0.07624082,0.6520255208015442,495616
39,2.4062407,0.0,24.57,106.86,462.97296,4717,0.049642183,928.1821887493134,-0.072941795,0.4835505485534668,499712
45,2.4136457,0.0,18.39,101.68,374.515,4762,0.05513607,947.820148229599,-0.06642844,0.6540447473526001,503808
41,2.4206147,0.0,25.47,94.67,307.47208,4803,0.04532477,955.3546223640442,-0.07227715,0.7389257848262787,507904
48,2.4122632,0.0,24.86,93.3,370.7126,4851,0.055505,963.1049604415894,-0.074410014,0.6421360969543457,512000
37,2.3792665,0.0,14.32,97.4,439.25995,4888,0.05853695,970.6703763008118,-0.077599786,0.5500430166721344,516096
41,2.332794,0.0,8.06,104.09,409.7536,4929,0.058639843,978.0596508979797,-0.078839265,0.5530695021152496,520192
43,2.3127964,0.0,12.37,99.55,369.97952,4972,0.06061768,985.1621098518372,-0.0749647,0.6356000006198883,524288
46,2.281982,0.0,23.46,90.8,374.99008,5018,0.05042425,992.5382313728333,-0.07358728,0.6728746592998505,528384
39,2.2945926,0.0,17.09,94.41,398.19012,5057,0.053367663,1000.0956075191498,-0.06887301,0.522930234670639,532480
41,2.2990575,0.0,12.03,102.48,392.60867,5098,0.058155037,1007.3023855686188,-0.077707104,0.6302560865879059,536576
40,2.2983415,0.0,13.49,103.94,273.2471,5138,0.058085497,1014.9958620071411,-0.07507952,0.7705546915531158,540672
42,2.296141,0.0,21.7,100.8,328.8337,5180,0.053809993,1022.2889969348907,-0.07032938,0.7246556282043457,544768
44,2.2487044,0.0,27.56,94.42,380.0202,5224,0.056847826,1029.9606988430023,-0.07173041,0.6989718079566956,548864
37,2.238113,0.0,25.92,100.95,438.39117,5261,0.058074966,1037.0638010501862,-0.07665223,0.6065539121627808,552960
41,2.216829,0.0,29.1,101.74,432.2492,5302,0.050319083,1044.2978308200836,-0.072279155,0.6546064615249634,557056
45,2.2081282,0.0,32.89,97.18,451.5387,5347,0.048407342,1052.1338710784912,-0.07369749,0.6223828792572021,561152
37,2.162291,0.0,22.08,100.61,363.54007,5384,0.056137186,1059.5117383003235,-0.07744645,0.6274419128894806,565248
44,2.1259158,0.0,23.49,97.39,365.17374,5428,0.061850842,1067.0245506763458,-0.072753,0.704982578754425,569344
36,2.1167853,0.0,21.7,102.98,411.67245,5464,0.0660395,1074.7424402236938,-0.065200984,0.5192930996417999,573440
40,2.0836694,0.0,12.11,104.74,459.2309,5504,0.05697891,1082.3329584598541,-0.07608433,0.6745797395706177,577536
38,2.0573423,0.0,23.21,106.24,381.69098,5542,0.059366215,1089.5932433605194,-0.07605211,0.5921141803264618,581632
40,2.0410619,0.0,31.79,103.08,372.72763,5582,0.058109876,1097.2698709964752,-0.074792,0.6920765340328217,585728
41,2.0015256,0.0,23.25,102.1,371.38287,5623,0.06747921,1104.8300473690033,-0.0770663,0.6931711733341217,589824
43,1.9982524,0.0,23.45,95.46,346.5014,5666,0.058395363,1112.1503965854645,-0.071909845,0.6985903978347778,593920
