loss_pol_surr,EpRewMean,loss_kl,TimeElapsed,ev_tdlam_before,TimestepsSoFar,EpisodesSoFar,loss_ent,EpLenMean,EpThisIter,loss_pol_entpen,loss_vf_loss
-0.011353328,-37.95,0.003292807,337.23014092445374,0.6068200767040253,204800,1521,5.63605,114.19,33,0.0,490.56677
-0.009884007,-46.61,0.0016096208,344.047828912735,0.5640982985496521,208896,1552,5.6320825,128.18,31,0.0,420.4135
-0.012754536,-37.73,0.0040624016,350.7649323940277,0.6892227530479431,212992,1588,5.6305013,123.63,36,0.0,373.8026
-0.0122331185,-36.94,0.0034121128,358.06301760673523,0.6893036961555481,217088,1623,5.636991,120.74,35,0.0,437.2029
-0.012335049,-25.19,0.0030539145,364.83882999420166,0.5671907961368561,221184,1655,5.6313376,119.68,32,0.0,401.75378
-0.009520632,-30.45,0.0019209022,371.94085693359375,0.614513099193573,225280,1687,5.631896,123.24,32,0.0,395.5101
-0.012703553,-44.8,0.003245174,378.9927020072937,0.6180644035339355,229376,1719,5.6304827,126.11,32,0.0,389.21155
-0.010813503,-39.48,0.0032819728,385.7423985004425,0.6876840591430664,233472,1754,5.629367,123.82,35,0.0,432.06366
-0.013258605,-34.14,0.0034832174,392.72425174713135,0.5590599179267883,237568,1780,5.6282263,130.92,26,0.0,445.6778
-0.011397603,-31.13,0.0032911005,399.39937257766724,0.5717436969280243,241664,1808,5.6263127,133.55,28,0.0,445.62448
-0.012835392,-31.43,0.0044009523,405.8109357357025,0.5521444380283356,245760,1840,5.6209617,141.5,32,0.0,489.7982
-0.012598584,-28.34,0.003552935,412.75937056541443,0.6683211028575897,249856,1873,5.622739,132.01,33,0.0,431.00314
-0.011541276,-29.82,0.0022812202,434.32389760017395,0.6229442059993744,253952,1904,5.6206565,132.37,31,0.0,333.31192
-0.013884395,-34.68,0.0038976613,441.20055317878723,0.5784940421581268,258048,1929,5.613975,136.07,25,0.0,425.71594
