EpLenMean,TimeElapsed,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,ev_tdlam_before,EpRewMean,EpThisIter,loss_kl,EpisodesSoFar,loss_ent,loss_vf_loss
141.95,4246.296960115433,-0.017509084,0.0,1228800,0.7253011465072632,21.47,29,0.004064525,10315,4.7520657,442.90176
143.22,4255.252219438553,-0.019756176,0.0,1232896,0.7233045399188995,10.15,29,0.0048148367,10344,4.755389,416.08926
141.67,4264.678458929062,-0.019040767,0.0,1236992,0.6667572259902954,4.79,29,0.004285518,10373,4.7569857,470.46466
139.15,4274.481853723526,-0.018787824,0.0,1241088,0.7923776358366013,12.46,30,0.0043064947,10403,4.764679,325.95703
137.19,4284.039520978928,-0.02180006,0.0,1245184,0.7717138230800629,-8.05,31,0.0056618485,10434,4.7533083,351.10382
138.71,4293.883370876312,-0.0200046,0.0,1249280,0.6534951627254486,-11.04,26,0.0041687554,10460,4.7501955,394.2237
141.77,4304.070059537888,-0.021855367,0.0,1253376,0.6869631111621857,-15.93,28,0.005322382,10488,4.7425113,399.994
148.32,4314.562719106674,-0.01946775,0.0,1257472,0.6302672326564789,-23.38,27,0.0043898122,10515,4.73631,420.4053
146.49,4324.298536539078,-0.022312917,0.0,1261568,0.7658205479383469,-5.68,30,0.005310423,10545,4.7331033,310.52975
139.92,4333.408561706543,-0.021080012,0.0,1265664,0.6875620782375336,7.42,31,0.0052205147,10576,4.728332,421.97382
140.27,4342.485661745071,-0.021786086,0.0,1269760,0.7283097803592682,19.32,28,0.0049468293,10604,4.7226553,332.70294
139.57,4351.976272106171,-0.022748044,0.0,1273856,0.7251556813716888,18.41,28,0.0059187002,10632,4.725064,413.2927
141.14,4361.397412061691,-0.019289635,0.0,1277952,0.7957793921232224,16.31,30,0.004303699,10662,4.7169504,349.48444
139.5,4370.676862478256,-0.01973576,0.0,1282048,0.693566620349884,1.55,30,0.0047855275,10692,4.7074594,454.16635
139.28,4380.225733041763,-0.021333069,0.0,1286144,0.6364073157310486,-9.1,29,0.0051906416,10721,4.7056074,464.31842
138.98,4389.886171579361,-0.02098237,0.0,1290240,0.6159356832504272,-13.23,30,0.004935573,10751,4.7009883,438.16
140.31,4399.5953097343445,-0.021405047,0.0,1294336,0.7521996647119522,-16.16,28,0.004729601,10779,4.7003174,339.36264
140.64,4409.462076425552,-0.022160195,0.0,1298432,0.7420373857021332,-7.07,29,0.006329508,10808,4.6972933,292.33987
141.25,4556.017297267914,-0.020676685,0.0,1302528,0.7832298129796982,0.7,30,0.0056818994,10838,4.700788,341.1147
141.23,4565.680108547211,-0.019451167,0.0,1306624,0.6661825180053711,-7.34,26,0.0046534245,10864,4.690603,344.20892
149.74,4575.621321439743,-0.021695502,0.0,1310720,0.7014403641223907,-10.71,26,0.0038528917,10890,4.680898,338.44272
153.62,4585.930393218994,-0.024626613,0.0,1314816,0.7378973960876465,-13.24,26,0.0054006157,10916,4.6825156,329.06885
155.09,4596.0567219257355,-0.021972911,0.0,1318912,0.7514099776744843,-6.88,27,0.004519877,10943,4.6813626,348.31552
161.26,4606.031110286713,-0.022669725,0.0,1323008,0.6870805025100708,2.31,23,0.0050225835,10966,4.6731534,398.20358
159.89,4616.1111052036285,-0.022592774,0.0,1327104,0.6848241984844208,3.81,26,0.004722077,10992,4.6705904,403.05997
161.31,4625.911667108536,-0.021007113,0.0,1331200,0.7142909467220306,-5.69,27,0.004489242,11019,4.6658316,337.12018
158.84,4635.480145692825,-0.021439446,0.0,1335296,0.6997085809707642,-1.95,26,0.005601085,11045,4.655914,389.31607
161.41,4645.323452711105,-0.023140594,0.0,1339392,0.6427990198135376,3.2,22,0.005807118,11067,4.65088,378.88754
160.76,4654.985533237457,-0.02131577,0.0,1343488,0.7565561681985855,1.99,26,0.0041311784,11093,4.6473966,304.11615
158.29,4665.009650707245,-0.021976996,0.0,1347584,0.8062507212162018,9.84,30,0.0044370997,11123,4.644288,312.384
152.68,4674.82919549942,-0.022078669,0.0,1351680,0.7292380034923553,10.16,28,0.004861191,11151,4.6384683,382.37454
145.9,4684.468280553818,-0.021966152,0.0,1355776,0.617082417011261,26.77,28,0.0055091856,11179,4.6292906,372.2162
147.77,4693.95475769043,-0.021873526,0.0,1359872,0.7444019019603729,28.11,26,0.005330795,11205,4.6310434,324.8665
156.39,4703.595783472061,-0.0210579,0.0,1363968,0.7149442732334137,30.93,22,0.0043489947,11227,4.6306024,299.8534
161.91,4712.911870002747,-0.024068967,0.0,1368064,0.6972772777080536,20.18,26,0.0056938264,11253,4.6256895,401.2659
156.9,4722.691707611084,-0.020300008,0.0,1372160,0.7198152244091034,12.72,29,0.004313046,11282,4.619416,317.96133
158.9,4732.305940151215,-0.02225613,0.0,1376256,0.5576439499855042,12.37,26,0.005079467,11308,4.620677,479.68292
151.05,4742.196168661118,-0.02144255,0.0,1380352,0.6930381059646606,25.83,28,0.0049041593,11336,4.610212,412.70883
151.17,4752.12433052063,-0.023403503,0.0,1384448,0.720198392868042,11.75,26,0.004874353,11362,4.604663,346.45935
153.43,4761.7597687244415,-0.023438625,0.0,1388544,0.7436500489711761,6.34,26,0.005046076,11388,4.6043425,316.57327
149.57,4771.573627710342,-0.021166518,0.0,1392640,0.7449281513690948,11.61,28,0.004281604,11416,4.605815,323.4049
152.11,4781.120285987854,-0.018792296,0.0,1396736,0.6542275249958038,3.22,28,0.004446136,11444,4.601136,514.3362
147.55,4933.372350931168,-0.02034333,0.0,1400832,0.7120685577392578,17.73,29,0.004284609,11473,4.5941195,422.46127
142.82,4943.166791439056,-0.020090122,0.0,1404928,0.7641158103942871,5.06,30,0.0041328897,11503,4.5892463,373.14377
144.65,4952.977766752243,-0.024388442,0.0,1409024,0.7515682429075241,8.61,27,0.005162565,11530,4.583059,346.24927
144.26,4962.458205938339,-0.022011226,0.0,1413120,0.7237535417079926,-11.74,28,0.0047735875,11558,4.5779696,393.26868
147.04,4971.976377725601,-0.019590579,0.0,1417216,0.7509895861148834,-5.08,27,0.0042458987,11585,4.5762224,367.54474
146.5,4981.545120954514,-0.021082954,0.0,1421312,0.6893562972545624,1.21,31,0.004205623,11616,4.572147,440.66943
145.12,4990.696744918823,-0.022247463,0.0,1425408,0.6941580176353455,5.8,27,0.004157685,11643,4.5719423,425.77505
140.37,4999.975690126419,-0.021703381,0.0,1429504,0.7957139164209366,-2.2,30,0.005064889,11673,4.5669866,304.5657
139.41,5009.338280916214,-0.020571427,0.0,1433600,0.7661266773939133,0.94,31,0.004855879,11704,4.5626698,390.75928
136.87,5018.849343061447,-0.02341814,0.0,1437696,0.7753868997097015,0.52,29,0.0051500965,11733,4.559252,343.59015
142.28,5028.278604269028,-0.01989787,0.0,1441792,0.6994935274124146,-5.8,26,0.0052524908,11759,4.5590687,361.49237
143.12,5037.9125781059265,-0.019530654,0.0,1445888,0.7037564516067505,-1.37,30,0.0037326505,11789,4.5551963,421.78503
143.59,5047.525537967682,-0.02259334,0.0,1449984,0.7105690538883209,7.71,31,0.005082791,11820,4.547238,472.75348
131.51,5056.910667896271,-0.02221213,0.0,1454080,0.7500787377357483,22.62,33,0.0053108195,11853,4.53888,358.0813
130.88,5066.143595933914,-0.021572404,0.0,1458176,0.7522618919610977,15.24,31,0.0048833843,11884,4.5299277,439.48083
129.33,5075.508375883102,-0.020963743,0.0,1462272,0.7507085204124451,12.7,31,0.0053745555,11915,4.5218,407.0674
133.03,5084.85302567482,-0.021701146,0.0,1466368,0.7084504067897797,-2.98,31,0.0048579266,11946,4.516934,375.11954
137.31,5094.046209573746,-0.024579728,0.0,1470464,0.7330988943576813,7.81,28,0.0054319333,11974,4.513109,324.44263
141.54,5103.6366975307465,-0.021436786,0.0,1474560,0.6869597136974335,0.73,28,0.0047983797,12002,4.5106945,428.6872
138.9,5113.3440771102905,-0.01893738,0.0,1478656,0.614159494638443,10.51,31,0.0043870853,12033,4.5053587,504.0529
138.35,5123.088646173477,-0.019959087,0.0,1482752,0.8284751176834106,-7.86,31,0.004921793,12064,4.498942,320.21124
136.08,5132.5383813381195,-0.021378629,0.0,1486848,0.6864359676837921,-6.17,30,0.0048227804,12094,4.501254,440.77887
141.07,5141.9772362709045,-0.024565646,0.0,1490944,0.7125563025474548,4.0,26,0.0059172967,12120,4.49936,383.77246
137.56,5151.372130870819,-0.021066833,0.0,1495040,0.7956784665584564,9.9,32,0.0048675146,12152,4.493954,299.1893
140.59,5161.094366073608,-0.021637969,0.0,1499136,0.6681771278381348,13.74,29,0.0049022785,12181,4.4878225,458.7676
134.22,5295.825209379196,-0.022113144,0.0,1503232,0.6735305786132812,16.7,33,0.005481935,12214,4.486329,491.2159
128.77,5304.600734710693,-0.022651788,0.0,1507328,0.6937177777290344,0.24,34,0.005875158,12248,4.480374,529.0232
123.31,5313.231744766235,-0.020931933,0.0,1511424,0.6045525074005127,2.95,32,0.0053773685,12280,4.4746394,540.8059
123.78,5322.016688108444,-0.022152698,0.0,1515520,0.6525381207466125,12.13,33,0.004898257,12313,4.470582,496.68832
127.03,5330.674522638321,-0.020218838,0.0,1519616,0.7123254239559174,6.23,32,0.004847684,12345,4.4611096,409.06564
129.69,5339.774297475815,-0.024484498,0.0,1523712,0.7046878337860107,2.22,29,0.0065613557,12374,4.465488,393.37924
135.53,5349.13174366951,-0.021233747,0.0,1527808,0.6253235340118408,10.25,29,0.004595709,12403,4.4600825,461.6548
137.71,5358.411497831345,-0.02423127,0.0,1531904,0.6033779084682465,21.82,29,0.006194899,12432,4.458011,482.97803
136.53,5367.530730247498,-0.021653606,0.0,1536000,0.7362636029720306,18.06,32,0.0055000726,12464,4.453352,339.906
132.5,5376.6425013542175,-0.022234792,0.0,1540096,0.7432362735271454,13.81,33,0.005355536,12497,4.4459543,400.73593
126.13,5386.267920255661,-0.021713033,0.0,1544192,0.7008034884929657,7.48,33,0.004340559,12530,4.440351,433.88016
122.9,5395.471256971359,-0.020849288,0.0,1548288,0.6508526802062988,16.93,34,0.0045330483,12564,4.440036,503.50238
126.95,5405.138653516769,-0.020520845,0.0,1552384,0.6103223860263824,6.71,29,0.005666756,12593,4.4421353,503.64276
129.84,5414.644425392151,-0.022961669,0.0,1556480,0.6905419528484344,5.3,30,0.0057126596,12623,4.441556,400.6571
133.97,5424.3018617630005,-0.022062732,0.0,1560576,0.7650757879018784,4.67,32,0.00386196,12655,4.4369197,359.53726
125.6,5434.1322889328,-0.020107098,0.0,1564672,0.7716893255710602,10.16,36,0.0052523427,12691,4.442365,364.68118
124.21,5443.842709541321,-0.022016363,0.0,1568768,0.7780453860759735,11.58,31,0.004867518,12722,4.443417,383.4551
124.66,5453.72762966156,-0.022885585,0.0,1572864,0.7028466761112213,7.13,32,0.0046333624,12754,4.443265,463.22693
128.9,5463.937488794327,-0.023214214,0.0,1576960,0.6911658942699432,11.1,32,0.0050731646,12786,4.441132,413.03094
129.43,5473.547109603882,-0.021385998,0.0,1581056,0.708059549331665,0.47,32,0.0054217996,12818,4.4370317,444.91776
127.63,5483.090630531311,-0.021895472,0.0,1585152,0.6428222954273224,5.59,34,0.004455795,12852,4.4261303,449.57056
129.16,5493.5822031497955,-0.023121504,0.0,1589248,0.7184610366821289,-2.86,29,0.0056196223,12881,4.421343,430.8753
132.85,5503.384375810623,-0.02142648,0.0,1593344,0.6734683811664581,0.96,29,0.005079717,12910,4.4171276,401.53198
132.86,5513.324748039246,-0.020586342,0.0,1597440,0.65067458152771,15.15,33,0.004700746,12943,4.4145923,465.01913
126.37,5641.074121236801,-0.022946283,0.0,1601536,0.7787540405988693,13.02,35,0.0058465167,12978,4.4145703,335.9347
114.62,5650.185169696808,-0.022283098,0.0,1605632,0.7673106342554092,23.52,39,0.0044703875,13017,4.4103227,401.52792
116.26,5659.582235574722,-0.021226402,0.0,1609728,0.6970269083976746,-3.26,31,0.004791345,13048,4.403154,511.54785
120.4,5669.092967748642,-0.020171173,0.0,1613824,0.667479008436203,0.46,32,0.0051625073,13080,4.403561,419.5622
